O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
6,RAMESH G,Indiya Jananayaka Katchi,458,2,460,0.21,Tamil Nadu-Sankarapuram
7,RAJIYAMA B,Naam Tamilar Katchi,9824,49,9873,4.58,Tamil Nadu-Sankarapuram
8,Dr.RAJA G,Pattali Makkal Katchi,74702,521,75223,34.86,Tamil Nadu-Sankarapuram
9,VIMALAMARY S,Anna MGR Dravida Makkal Kalgam,603,6,609,0.28,Tamil Nadu-Sankarapuram
10,ARUL P,Independent,2119,1,2120,0.98,Tamil Nadu-Sankarapuram
11,UTHAYAKUMAR A,Independent,165,1,166,0.08,Tamil Nadu-Sankarapuram
12,KUBENDIRAN A,Independent,428,0,428,0.2,Tamil Nadu-Sankarapuram
13,GOPINATH E,Independent,272,0,272,0.13,Tamil Nadu-Sankarapuram
14,DHANAM K,Independent,348,0,348,0.16,Tamil Nadu-Sankarapuram
15,BABUGANESH S,Independent,292,1,293,0.14,Tamil Nadu-Sankarapuram
16,MANNAN M P,Independent,1155,1,1156,0.54,Tamil Nadu-Sankarapuram
17,MAYILAMPARAI MARI A,Independent,844,0,844,0.39,Tamil Nadu-Sankarapuram
18,RAJKUMAR  E,Independent,88,0,88,0.04,Tamil Nadu-Sankarapuram
19,JAYAPRAKASH K,Independent,134,0,134,0.06,Tamil Nadu-Sankarapuram
20,NOTA,None of the Above,944,9,953,0.44,Tamil Nadu-Sankarapuram
1,"SUNDARARAJAN, S.",All India Anna Dravida Munnetra Kazhagam,114376,1096,115472,49.72,Tamil Nadu-Sankari
2,"RAJESH, K.M.",Dravida Munnetra Kazhagam,93897,1530,95427,41.09,Tamil Nadu-Sankari
3,"SIVALINGAM, C.",Tamilaga Makkal Thannurimai Katchi,812,2,814,0.35,Tamil Nadu-Sankari
4,"SENGODAN, K.",Makkal Needhi Maiam,3140,35,3175,1.37,Tamil Nadu-Sankari
5,"CHELLAMUTHU, A.",Amma Makkal Munnettra Kazagam,1462,9,1471,0.63,Tamil Nadu-Sankari
6,"SETTU, K.",My India Party,96,0,96,0.04,Tamil Nadu-Sankari
7,"SHOBANA, S.",Naam Tamilar Katchi,10788,74,10862,4.68,Tamil Nadu-Sankari
8,"RAVIKUMAR, P.",Ganasangam Party of India,197,3,200,0.09,Tamil Nadu-Sankari
9,"AROKIASAMI, A.",Independent,135,0,135,0.06,Tamil Nadu-Sankari
10,"GUNASEKARAN, M.",Independent,92,3,95,0.04,Tamil Nadu-Sankari
11,"GOPALAKRISHNAN, S.",Independent,166,0,166,0.07,Tamil Nadu-Sankari
12,"SATHISHKUMAR, V.",Independent,87,2,89,0.04,Tamil Nadu-Sankari
13,"SENGOTEN, R.",Independent,97,0,97,0.04,Tamil Nadu-Sankari
14,"DURAIRAJ, C.",Independent,209,2,211,0.09,Tamil Nadu-Sankari
15,"PALANIYAPPAN, M.",Independent,524,1,525,0.23,Tamil Nadu-Sankari
16,"BAKKIYAMANI, M.",Independent,846,1,847,0.36,Tamil Nadu-Sankari
17,"PRABHU, K.",Independent,481,0,481,0.21,Tamil Nadu-Sankari
18,"MANIVEL, P.",Independent,276,2,278,0.12,Tamil Nadu-Sankari
19,"VIJAYAKUMAR, P.",Independent,55,0,55,0.02,Tamil Nadu-Sankari
20,"VIJI @ VIJAYAN, K.",Independent,30,1,31,0.01,Tamil Nadu-Sankari
21,"VENGADACHALAM, T.",Independent,33,0,33,0.01,Tamil Nadu-Sankari
22,"JAGANATHAN, I.",Independent,99,0,99,0.04,Tamil Nadu-Sankari
23,"JAGANNATHAN, M.",Independent,119,0,119,0.05,Tamil Nadu-Sankari
24,NOTA,None of the Above,1453,16,1469,0.63,Tamil Nadu-Sankari
1,"RAGHURAMAN,  A.R.R.",Dravida Munnetra Kazhagam,72949,1225,74174,38.68,Tamil Nadu-Sattur
2,"RAVICHANDHRAN, R.K.",All India Anna Dravida Munnetra Kazhagam,62701,294,62995,32.85,Tamil Nadu-Sattur
3,"ANGUSAMY,  S.",Anaithu Makkal Puratchi Katchi,411,3,414,0.22,Tamil Nadu-Sattur
4,"SUBBURAMAN, P.",All India MGR Makkal Munnetra Kazhagam,153,3,156,0.08,Tamil Nadu-Sattur
5,"PALANICHAMY, P.",Bahujan Dravida Party,96,1,97,0.05,Tamil Nadu-Sattur
6,"PANDI, K.",Naam Tamilar Katchi,12478,148,12626,6.58,Tamil Nadu-Sattur
7,"BHARATHI, M.",Indiya Jananayaka Katchi,1722,29,1751,0.91,Tamil Nadu-Sattur
8,"MARIKANNAN, G.",Puthiya Tamilagam,1584,15,1599,0.83,Tamil Nadu-Sattur
9,"RAJAVARMAN, M.S.R.",Amma Makkal Munnettra Kazagam,32693,223,32916,17.16,Tamil Nadu-Sattur
10,"RAJKUMAR, R.",My India Party,186,2,188,0.1,Tamil Nadu-Sattur
11,"JEYAGANESH, K.",Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,166,0,166,0.09,Tamil Nadu-Sattur
12,"ANTHONYRAJ,  A.",Independent,57,0,57,0.03,Tamil Nadu-Sattur
13,"KARUTHAPANDIAN, S.",Independent,136,0,136,0.07,Tamil Nadu-Sattur
14,"GURUSAMY, P.",Independent,94,0,94,0.05,Tamil Nadu-Sattur
15,"SARAVANAKUMAR, M.",Independent,634,1,635,0.33,Tamil Nadu-Sattur
16,"SUBRAMANIAN, S.",Independent,551,0,551,0.29,Tamil Nadu-Sattur
17,"SENTHUR PANDIAN, R.",Independent,405,1,406,0.21,Tamil Nadu-Sattur
18,"CHELLAPANDIAN,  P.",Independent,368,1,369,0.19,Tamil Nadu-Sattur
19,"DHAMODHARAN,  S.",Independent,118,1,119,0.06,Tamil Nadu-Sattur
20,"BALA SUBRAMANIAN, R.",Independent,61,1,62,0.03,Tamil Nadu-Sattur
21,"BALAMURUGAN, K.",Independent,156,1,157,0.08,Tamil Nadu-Sattur
22,"PRABAKARAN, J.",Independent,60,0,60,0.03,Tamil Nadu-Sattur
23,"MAHESKUMAR, M",Independent,41,0,41,0.02,Tamil Nadu-Sattur
24,"MANOHARAN, V.",Independent,51,0,51,0.03,Tamil Nadu-Sattur
25,"MARIAPPAN, M.",Independent,123,1,124,0.06,Tamil Nadu-Sattur
26,"RAGU, B.",Independent,331,1,332,0.17,Tamil Nadu-Sattur
27,"RAMESH, A.",Independent,210,0,210,0.11,Tamil Nadu-Sattur
28,NOTA,None of the Above,1280,17,1297,0.68,Tamil Nadu-Sattur
1,CHANDRAN S,All India Anna Dravida Munnetra Kazhagam,79703,485,80188,40.25,Tamil Nadu-Senthamangalam
2,PONNUSAMY K,Dravida Munnetra Kazhagam,89146,1535,90681,45.51,Tamil Nadu-Senthamangalam
3,CHANDRAN P,Amma Makkal Munnettra Kazagam,827,4,831,0.42,Tamil Nadu-Senthamangalam
4,SELVARAJ V,Indiya Jananayaka Katchi,428,3,431,0.22,Tamil Nadu-Senthamangalam
5,ROHINI T,Naam Tamilar Katchi,11534,120,11654,5.85,Tamil Nadu-Senthamangalam
6,SANKAR P,Independent,194,1,195,0.1,Tamil Nadu-Senthamangalam
7,CHANDRASEKARAN C,Independent,11328,43,11371,5.71,Tamil Nadu-Senthamangalam
8,THIYAGARAJAN C,Independent,202,0,202,0.1,Tamil Nadu-Senthamangalam
9,DINESH C,Independent,87,0,87,0.04,Tamil Nadu-Senthamangalam
10,DURAIRAJ S,Independent,131,0,131,0.07,Tamil Nadu-Senthamangalam
11,PRASATH S,Independent,116,3,119,0.06,Tamil Nadu-Senthamangalam
12,MUTHUSAMY C,Independent,227,0,227,0.11,Tamil Nadu-Senthamangalam
13,RANCHITH C,Independent,136,1,137,0.07,Tamil Nadu-Senthamangalam
14,RAMESH R,Independent,250,1,251,0.13,Tamil Nadu-Senthamangalam
15,RAMASAMY K.V,Independent,672,0,672,0.34,Tamil Nadu-Senthamangalam
16,NOTA,None of the Above,2044,14,2058,1.03,Tamil Nadu-Senthamangalam
1,MANICKAM K,All India Anna Dravida Munnetra Kazhagam,66792,403,67195,38.32,Tamil Nadu-Sholavandan
2,VENKATESAN A,Dravida Munnetra Kazhagam,83247,993,84240,48.04,Tamil Nadu-Sholavandan
3,JEYALAKSHMI M,Desiya Murpokku Dravida Kazhagam,3534,48,3582,2.04,Tamil Nadu-Sholavandan
4,INDURANI S,Puthiya Tamilagam,248,2,250,0.14,Tamil Nadu-Sholavandan
5,ESWARI T,Communist Party of India  (Marxist-Leninist)  (Liberation),121,4,125,0.07,Tamil Nadu-Sholavandan
6,SILAMBARASAN P,Bahujan Dravida Party,143,3,146,0.08,Tamil Nadu-Sholavandan
7,SENGANNAN G,Naam Tamilar Katchi,13783,153,13936,7.95,Tamil Nadu-Sholavandan
8,YOGANATHAN S,Makkal Needhi Maiam,3000,31,3031,1.73,Tamil Nadu-Sholavandan
9,RAJKUMAR K,My India Party,71,0,71,0.04,Tamil Nadu-Sholavandan
10,KATHIRESAN P,Independent,102,2,104,0.06,Tamil Nadu-Sholavandan
11,KANDAVEL S,Independent,292,2,294,0.17,Tamil Nadu-Sholavandan
12,KRISHNASAMY P,Independent,81,3,84,0.05,Tamil Nadu-Sholavandan
13,SEKAR N,Independent,70,0,70,0.04,Tamil Nadu-Sholavandan
14,DHANAGOPAL S,Independent,86,2,88,0.05,Tamil Nadu-Sholavandan
15,MALAICHAMY A,Independent,133,0,133,0.08,Tamil Nadu-Sholavandan
16,MOORTHY P,Independent,200,0,200,0.11,Tamil Nadu-Sholavandan
17,MOORTHI M,Independent,363,0,363,0.21,Tamil Nadu-Sholavandan
18,RAJKUMAR V,Independent,347,6,353,0.2,Tamil Nadu-Sholavandan
19,VARATHARAJAN C,Independent,89,0,89,0.05,Tamil Nadu-Sholavandan
20,VETRIVEL J,Independent,46,0,46,0.03,Tamil Nadu-Sholavandan
21,NOTA,None of the Above,946,15,961,0.55,Tamil Nadu-Sholavandan
1,M.GIRIDHARAN,Bahujan Samaj Party,611,3,614,0.27,Tamil Nadu-Sholinghur
2,A.M.MUNIRATHINAM,Indian National Congress,109138,1090,110228,49.18,Tamil Nadu-Sholinghur
3,A.M.KRISHNAN,Pattali Makkal Katchi,82919,611,83530,37.27,Tamil Nadu-Sholinghur
4,N.G.PARTHIBAN,Amma Makkal Munnettra Kazagam,12877,102,12979,5.79,Tamil Nadu-Sholinghur
5,Y.R.PAVENDHAN,Naam Tamilar Katchi,9580,76,9656,4.31,Tamil Nadu-Sholinghur
6,R.VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,131,1,132,0.06,Tamil Nadu-Sholinghur
7,G.VIJAYAKUMAR,Desiya Sirupanmayinar Makkal Iyakkam,222,0,222,0.1,Tamil Nadu-Sholinghur
8,R.JAWAHAR,Makkal Needhi Maiam,1649,15,1664,0.74,Tamil Nadu-Sholinghur
9,T.RAJENDRAN,Independent,1014,1,1015,0.45,Tamil Nadu-Sholinghur
10,R.ELUMALAI,Independent,111,1,112,0.05,Tamil Nadu-Sholinghur
11,K.SEKAR,Independent,121,0,121,0.05,Tamil Nadu-Sholinghur
12,A.PALANI,Independent,466,0,466,0.21,Tamil Nadu-Sholinghur
13,P.PARTHIBAN,Independent,204,1,205,0.09,Tamil Nadu-Sholinghur
14,J.BALAJI,Independent,464,3,467,0.21,Tamil Nadu-Sholinghur
15,K.MANI,Independent,369,3,372,0.17,Tamil Nadu-Sholinghur
16,N.MANI,Independent,326,0,326,0.15,Tamil Nadu-Sholinghur
17,C.MUNIRATHINAM,Independent,174,0,174,0.08,Tamil Nadu-Sholinghur
18,M.MUNIRATHINAM,Independent,585,2,587,0.26,Tamil Nadu-Sholinghur
19,NOTA,None of the Above,1234,5,1239,0.55,Tamil Nadu-Sholinghur
1,S.ARAVINDRAMESH,Dravida Munnetra Kazhagam,170675,883,171558,44.18,Tamil Nadu-Shozhinganallur
2,K.P.KANDAN,All India Anna Dravida Munnetra Kazhagam,135834,319,136153,35.06,Tamil Nadu-Shozhinganallur
3,G.PRAKASH ROBERT,Bahujan Samaj Party,551,3,554,0.14,Tamil Nadu-Shozhinganallur
4,R.MURUGAN,Desiya Murpokku Dravida Kazhagam,3903,9,3912,1.01,Tamil Nadu-Shozhinganallur
5,T.ELUMALAI,Anna MGR Dravida Munnetra Kazhagam,160,0,160,0.04,Tamil Nadu-Shozhinganallur
6,S.MICHAEL,Naam Tamilar Katchi,38825,47,38872,10.01,Tamil Nadu-Shozhinganallur
7,RAJIV KUMAR,Makkal Needhi Maiam,30229,55,30284,7.8,Tamil Nadu-Shozhinganallur
8,M.RAJESWARIPRIYA,Anaithu Makkal Arasiyal Katchi,426,1,427,0.11,Tamil Nadu-Shozhinganallur
9,A.I.AHAMED SHAH,Independent,171,1,172,0.04,Tamil Nadu-Shozhinganallur
10,H.ARAVINDHKUMAR,Independent,448,4,452,0.12,Tamil Nadu-Shozhinganallur
11,P.ARULRAJ,Independent,67,5,72,0.02,Tamil Nadu-Shozhinganallur
12,R.RAVICHANDRAN,Independent,95,0,95,0.02,Tamil Nadu-Shozhinganallur
13,Dr. V.KANDAN,Independent,146,1,147,0.04,Tamil Nadu-Shozhinganallur
14,D.KALANITHI,Independent,96,0,96,0.02,Tamil Nadu-Shozhinganallur
15,D.SRINIVASAN,Independent,149,0,149,0.04,Tamil Nadu-Shozhinganallur
16,K.SURJITHKUMAR,Independent,674,2,676,0.17,Tamil Nadu-Shozhinganallur
17,S.SENTHIL,Independent,477,0,477,0.12,Tamil Nadu-Shozhinganallur
18,K.SENTHILKUMAR,Independent,310,0,310,0.08,Tamil Nadu-Shozhinganallur
19,R.SELVAVIGNESH,Independent,176,0,176,0.05,Tamil Nadu-Shozhinganallur
20,A.DHANASEKAR,Independent,57,0,57,0.01,Tamil Nadu-Shozhinganallur
21,K.NARASIMMAN,Independent,58,0,58,0.01,Tamil Nadu-Shozhinganallur
22,S.PRITHIVIRAJ,Independent,45,0,45,0.01,Tamil Nadu-Shozhinganallur
23,A.MOHAMMED GANI,Independent,45,0,45,0.01,Tamil Nadu-Shozhinganallur
24,E.RAJESH,Independent,127,0,127,0.03,Tamil Nadu-Shozhinganallur
25,D.VENUGOPAL,Independent,117,0,117,0.03,Tamil Nadu-Shozhinganallur
26,G.VELAVAN,Independent,134,0,134,0.03,Tamil Nadu-Shozhinganallur
27,NOTA,None of the Above,3021,9,3030,0.78,Tamil Nadu-Shozhinganallur
1,"Karthik, N",Dravida Munnetra Kazhagam,68984,1406,70390,34.84,Tamil Nadu-Singanallur
2,"Jayaram, K.R",All India Anna Dravida Munnetra Kazhagam,80437,807,81244,40.22,Tamil Nadu-Singanallur
3,"Sasikumar, M",Anna Dravidar Kazhagam,209,2,211,0.1,Tamil Nadu-Singanallur
4,"SenthilKumar, S",United States of India Party,94,0,94,0.05,Tamil Nadu-Singanallur
5,"Selva, S.R",Amma Makkal Munnettra Kazagam,1722,11,1733,0.86,Tamil Nadu-Singanallur
6,"Narmadha, R",Naam Tamilar Katchi,8311,55,8366,4.14,Tamil Nadu-Singanallur
7,"Palanisamy, N",My India Party,112,1,113,0.06,Tamil Nadu-Singanallur
8,"Mahendran, R",Makkal Needhi Maiam,36553,302,36855,18.24,Tamil Nadu-Singanallur
9,"Akbar Ali, A",Independent,86,0,86,0.04,Tamil Nadu-Singanallur
10,"Karthick, N",Independent,72,1,73,0.04,Tamil Nadu-Singanallur
11,"Karthik, N",Independent,132,3,135,0.07,Tamil Nadu-Singanallur
12,"Krishnan, V",Independent,30,0,30,0.01,Tamil Nadu-Singanallur
13,"Kumar babu, K",Independent,87,0,87,0.04,Tamil Nadu-Singanallur
14,"Gowtham, P",Independent,65,2,67,0.03,Tamil Nadu-Singanallur
15,"Chanthirika, R",Independent,200,1,201,0.1,Tamil Nadu-Singanallur
16,"Nabas Sherif, M",Independent,257,0,257,0.13,Tamil Nadu-Singanallur
17,"Nagarajan, J",Independent,163,0,163,0.08,Tamil Nadu-Singanallur
18,Praveen Venkatachalam,Independent,187,1,188,0.09,Tamil Nadu-Singanallur
19,"Maniraj, K",Independent,87,2,89,0.04,Tamil Nadu-Singanallur
20,"Mohandass, N",Independent,121,0,121,0.06,Tamil Nadu-Singanallur
21,"Viju Alban Prakash, V",Independent,86,0,86,0.04,Tamil Nadu-Singanallur
22,NOTA,None of the Above,1415,17,1432,0.71,Tamil Nadu-Singanallur
1,PANNEERSELVAM,Dravida Munnetra Kazhagam,92866,1191,94057,49.16,Tamil Nadu-Sirkazhi
2,P.V.BHARATHI,All India Anna Dravida Munnetra Kazhagam,81235,674,81909,42.81,Tamil Nadu-Sirkazhi
3,SRITHAR,Bahujan Samaj Party,490,5,495,0.26,Tamil Nadu-Sirkazhi
4,Kamban,Anaithu Makkal Arasiyal Katchi,76,3,79,0.04,Tamil Nadu-Sirkazhi
5,Kavitha,Naam Tamilar Katchi,10966,47,11013,5.76,Tamil Nadu-Sirkazhi
6,BALU,Amma Makkal Munnettra Kazagam,1301,7,1308,0.68,Tamil Nadu-Sirkazhi
7,PRABU,Makkal Needhi Maiam,990,10,1000,0.52,Tamil Nadu-Sirkazhi
8,ANUSUYA,Independent,76,1,77,0.04,Tamil Nadu-Sirkazhi
9,Silambarasan,Independent,121,1,122,0.06,Tamil Nadu-Sirkazhi
10,BARATHI,Independent,287,1,288,0.15,Tamil Nadu-Sirkazhi
11,NOTA,None of the Above,974,3,977,0.51,Tamil Nadu-Sirkazhi
1,S. Gunasekaran,Communist Party of India,69101,1799,70900,35.09,Tamil Nadu-Sivaganga
2,PR. Senthilnathan,All India Anna Dravida Munnetra Kazhagam,81267,886,82153,40.66,Tamil Nadu-Sivaganga
3,K. Anbarasan,Amma Makkal Munnettra Kazagam,19631,193,19824,9.81,Tamil Nadu-Sivaganga
4,N. Pandimuthu,My India Party,369,4,373,0.18,Tamil Nadu-Sivaganga
5,R. Mallika,Naam Tamilar Katchi,22301,199,22500,11.14,Tamil Nadu-Sivaganga
6,Vadivel. C,Anaithu Makkal Puratchi Katchi,239,2,241,0.12,Tamil Nadu-Sivaganga
7,Joseph. C,Makkal Needhi Maiam,2076,29,2105,1.04,Tamil Nadu-Sivaganga
8,K. Kalaiselvam,Independent,120,3,123,0.06,Tamil Nadu-Sivaganga
9,C. Kaningprabhu,Independent,109,3,112,0.06,Tamil Nadu-Sivaganga
10,R. Gunasekaran,Independent,145,10,155,0.08,Tamil Nadu-Sivaganga
11,M. Thirukumaran,Independent,124,3,127,0.06,Tamil Nadu-Sivaganga
12,Dr. A. Parthasarathy,Independent,342,3,345,0.17,Tamil Nadu-Sivaganga
13,M. Ravi,Independent,175,0,175,0.09,Tamil Nadu-Sivaganga
14,Vimalraj,Independent,307,2,309,0.15,Tamil Nadu-Sivaganga
15,P. Viswanathan,Independent,1318,14,1332,0.66,Tamil Nadu-Sivaganga
16,NOTA,None of the Above,1258,12,1270,0.63,Tamil Nadu-Sivaganga
1,Ashokan.G,Indian National Congress,77788,1159,78947,42.66,Tamil Nadu-Sivakasi
2,Ananthalakshmi,Bahujan Samaj Party,432,6,438,0.24,Tamil Nadu-Sivakasi
3,Lakshmi Ganesan,All India Anna Dravida Munnetra Kazhagam,61367,261,61628,33.3,Tamil Nadu-Sivakasi
4,KANNAN.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,423,3,426,0.23,Tamil Nadu-Sivakasi
5,KARUPPASAMY.S,Anaithu Makkal Puratchi Katchi,314,2,316,0.17,Tamil Nadu-Sivakasi
6,KALYANASUNDARI.M,My India Party,188,3,191,0.1,Tamil Nadu-Sivakasi
7,Kanagapriya.R,Naam Tamilar Katchi,20754,111,20865,11.28,Tamil Nadu-Sivakasi
8,Samikkalai.G,Amma Makkal Munnettra Kazagam,9751,142,9893,5.35,Tamil Nadu-Sivakasi
9,MGR NAMBBI,All India MGR Makkal Munnetra Kazhagam,107,0,107,0.06,Tamil Nadu-Sivakasi
10,PALANICHAMY.P,Bahujan Dravida Party,61,0,61,0.03,Tamil Nadu-Sivakasi
11,Mugunthan.S,Makkal Needhi Maiam,6053,37,6090,3.29,Tamil Nadu-Sivakasi
12,JEEVANANTHAM.G,Republican Party of India (Athawale),77,1,78,0.04,Tamil Nadu-Sivakasi
13,Ashokkumar.C,Independent,86,2,88,0.05,Tamil Nadu-Sivakasi
14,Anbalagan.P,Independent,125,1,126,0.07,Tamil Nadu-Sivakasi
15,GANESAN.R,Independent,151,1,152,0.08,Tamil Nadu-Sivakasi
16,Karthik.N,Independent,319,0,319,0.17,Tamil Nadu-Sivakasi
17,KESAVAKUMAR.D,Independent,442,0,442,0.24,Tamil Nadu-Sivakasi
18,Thangaraj.S,Independent,233,1,234,0.13,Tamil Nadu-Sivakasi
19,DHARMALINGAM.M,Independent,330,0,330,0.18,Tamil Nadu-Sivakasi
20,Pandiarajan.S,Independent,113,1,114,0.06,Tamil Nadu-Sivakasi
21,Balakrishnan.N,Independent,405,9,414,0.22,Tamil Nadu-Sivakasi
22,MAYILVAGANAN.G,Independent,100,1,101,0.05,Tamil Nadu-Sivakasi
23,MARIMUTHU.M,Independent,220,1,221,0.12,Tamil Nadu-Sivakasi
24,LAKSHMANAN.E,Independent,1410,20,1430,0.77,Tamil Nadu-Sivakasi
25,VINOTHKUMAR.M,Independent,245,0,245,0.13,Tamil Nadu-Sivakasi
26,JOYSMARY.T,Independent,64,0,64,0.03,Tamil Nadu-Sivakasi
27,NOTA,None of the Above,1709,18,1727,0.93,Tamil Nadu-Sivakasi
1,SELVAPERUNTHAGAI,Indian National Congress,114554,799,115353,43.65,Tamil Nadu-Sriperumbudur
2,PALANI,All India Anna Dravida Munnetra Kazhagam,104017,457,104474,39.53,Tamil Nadu-Sriperumbudur
3,VINOTH,Bahujan Samaj Party,802,1,803,0.3,Tamil Nadu-Sriperumbudur
4,THANIGAIVEL,Makkal Needhi Maiam,8838,32,8870,3.36,Tamil Nadu-Sriperumbudur
5,PUSHPARAJ,Naam Tamilar Katchi,21998,36,22034,8.34,Tamil Nadu-Sriperumbudur
6,PERUMAL,Amma Makkal Munnettra Kazagam,3125,19,3144,1.19,Tamil Nadu-Sriperumbudur
7,LOKESH,Desiya Makkal Sakthi Katchi,123,0,123,0.05,Tamil Nadu-Sriperumbudur
8,SAROJA,Independent,280,2,282,0.11,Tamil Nadu-Sriperumbudur
9,SUDHAKAR,Independent,88,12,100,0.04,Tamil Nadu-Sriperumbudur
10,DEVARAJAN,Independent,114,15,129,0.05,Tamil Nadu-Sriperumbudur
11,PARTHIBAN,Independent,74,0,74,0.03,Tamil Nadu-Sriperumbudur
12,LEENA,Independent,138,0,138,0.05,Tamil Nadu-Sriperumbudur
13,VASANTHI,Independent,123,1,124,0.05,Tamil Nadu-Sriperumbudur
14,VEDHAGIRI,Independent,132,3,135,0.05,Tamil Nadu-Sriperumbudur
15,VAIRAMUTHU,Independent,6325,15,6340,2.4,Tamil Nadu-Sriperumbudur
16,NOTA,None of the Above,2132,7,2139,0.81,Tamil Nadu-Sriperumbudur
1,KuPa Krishnan,All India Anna Dravida Munnetra Kazhagam,93131,858,93989,39.12,Tamil Nadu-Srirangam
2,G.Selvakumar,Bahujan Samaj Party,805,6,811,0.34,Tamil Nadu-Srirangam
3,Palaniyandi.M,Dravida Munnetra Kazhagam,112009,1895,113904,47.41,Tamil Nadu-Srirangam
4,Annalakshmi,Desiya Makkal Sakthi Katchi,606,2,608,0.25,Tamil Nadu-Srirangam
5,Sarubala.R.Thondaiman,Amma Makkal Munnettra Kazagam,3448,39,3487,1.45,Tamil Nadu-Srirangam
6,K.Selvarathi,Naam Tamilar Katchi,17793,118,17911,7.46,Tamil Nadu-Srirangam
7,Daniel Jude Martin,Makkal Munnetra Peravai,207,3,210,0.09,Tamil Nadu-Srirangam
8,P.Balasubramanian,Samaniya Makkal Nala Katchi,88,1,89,0.04,Tamil Nadu-Srirangam
9,S.Francis Mery,Indiya Jananayaka Katchi,1062,5,1067,0.44,Tamil Nadu-Srirangam
10,M.Amsavalli,Independent,95,2,97,0.04,Tamil Nadu-Srirangam
11,R.Uma,Independent,157,6,163,0.07,Tamil Nadu-Srirangam
12,S.Suresh,Independent,386,2,388,0.16,Tamil Nadu-Srirangam
13,V.Sethumadhavan,Independent,594,0,594,0.25,Tamil Nadu-Srirangam
14,P.Ravichandran,Independent,422,1,423,0.18,Tamil Nadu-Srirangam
15,Y.Jacob,Independent,4031,51,4082,1.7,Tamil Nadu-Srirangam
16,NOTA,None of the Above,2391,26,2417,1.01,Tamil Nadu-Srirangam
1,Amirtharaj .S,Indian National Congress,75086,1757,76843,46.75,Tamil Nadu-Srivaikuntam
2,S.P.SHUNMUGANATHAN,All India Anna Dravida Munnetra Kazhagam,58583,888,59471,36.18,Tamil Nadu-Srivaikuntam
3,Arun B,Puthiya Tamilagam,437,7,444,0.27,Tamil Nadu-Srivaikuntam
4,Arulmathi Yesuvadiyal,Aanaithinthiya Jananayaka Pathukappu Kazhagam,95,1,96,0.06,Tamil Nadu-Srivaikuntam
5,ERAL S. RAMESH,Amma Makkal Munnettra Kazagam,10074,129,10203,6.21,Tamil Nadu-Srivaikuntam
6,R.Chandra Sekar,Makkal Needhi Maiam,1345,10,1355,0.82,Tamil Nadu-Srivaikuntam
7,P.Subbiah Pandian,Naam Tamilar Katchi,12552,154,12706,7.73,Tamil Nadu-Srivaikuntam
8,SURESH PERUMAL S,Naam Indiar Party,232,1,233,0.14,Tamil Nadu-Srivaikuntam
9,Jegan,Anna Dravidar Kazhagam,104,2,106,0.06,Tamil Nadu-Srivaikuntam
10,ALLWIN DURAISINGH P,Independent,51,1,52,0.03,Tamil Nadu-Srivaikuntam
11,Esakki Raja K,Independent,336,5,341,0.21,Tamil Nadu-Srivaikuntam
12,Kirushnavel R,Independent,103,0,103,0.06,Tamil Nadu-Srivaikuntam
13,Sankara Subramanian M,Independent,129,0,129,0.08,Tamil Nadu-Srivaikuntam
14,SARAVANAN G,Independent,79,1,80,0.05,Tamil Nadu-Srivaikuntam
15,Sudalaimuthu Perumal,Independent,139,1,140,0.09,Tamil Nadu-Srivaikuntam
16,Sethuramalingam S,Independent,311,1,312,0.19,Tamil Nadu-Srivaikuntam
17,Durai Singh J,Independent,493,1,494,0.3,Tamil Nadu-Srivaikuntam
18,Ponnudurai I,Independent,297,0,297,0.18,Tamil Nadu-Srivaikuntam
19,Malaiandi R,Independent,56,0,56,0.03,Tamil Nadu-Srivaikuntam
20,VINSTON ANTO S,Independent,37,1,38,0.02,Tamil Nadu-Srivaikuntam
21,Joseph Leon,Independent,126,5,131,0.08,Tamil Nadu-Srivaikuntam
22,NOTA,None of the Above,749,7,756,0.46,Tamil Nadu-Srivaikuntam
1,"MADHAVARAO, P.S.W.",Indian National Congress,56450,1287,57737,31.2,Tamil Nadu-Srivilliputhur
2,"MANRAJ, E.M.",All India Anna Dravida Munnetra Kazhagam,70081,394,70475,38.09,Tamil Nadu-Srivilliputhur
3,"ABINAYA, B.",Naam Tamilar Katchi,20038,310,20348,11,Tamil Nadu-Srivilliputhur
4,"IRULANDI, Dr. V.",Tamil Nadu Ilangyar Katchi,935,7,942,0.51,Tamil Nadu-Srivilliputhur
5,"GURUVAIYA, K.",Makkal Needhi Maiam,3468,44,3512,1.9,Tamil Nadu-Srivilliputhur
6,"SANGEETHAPRIYA, S.",Amma Makkal Munnettra Kazagam,23479,203,23682,12.8,Tamil Nadu-Srivilliputhur
7,"SHANTHI, S.",Puthiya Tamilagam,4917,68,4985,2.69,Tamil Nadu-Srivilliputhur
8,"PANDIYARAJ, K.",Anaithu Makkal Puratchi Katchi,209,0,209,0.11,Tamil Nadu-Srivilliputhur
9,"VEERAPANDI, K.",My India Party,175,2,177,0.1,Tamil Nadu-Srivilliputhur
